gene,mean_abs_shap
blaTEM-1,1.5445459811756246
aac(3)-IIe,1.0108948337784636
aadA1,0.9669833818108673
parC_S80I,0.8274712817665357
aph(3'')-Ib,0.7986783786946694
tet(A),0.7958894527965362
tet(D),0.6207325922643474
qacEdelta1,0.6162034277144643
aph(3')-VIb,0.5346096311388939
blaOXA-9,0.4785109217476233
blaOXA-48,0.378449800318516
aph(6)-Id,0.33628955087101364
dfrA14,0.3086266502175433
sul1,0.29037459980842695
blaOXA-204,0.2330785233667961
blaSHV-28,0.18527157465673988
aph(3')-Ia,0.16043309213636187
gyrA_D87N,0.15960749178454253
floR,0.15011448834188315
blaCTX-M-15,0.1367975458053254
aac(6')-Ib-cr5,0.08872094963160851
ompK35_G62AfsTer1,0.07817116950754066
gyrA_S83Y,0.07250160387321881
gyrA_S83I,0.07031334010173684
oqxB,0.06554744974691978
blaCTX-M-14,0.06410154153775646
mph(A),0.05845590314819334
blaSHV-1,0.058025662410070046
oqxB19,0.05199242355469361
catA1,0.051894398875443705
sul2,0.02384836407009846
gyrA_S83F,0.018349286204507716
aac(6')-Ib,0.0158466371276427
qnrB1,0.009614534688874968
blaTEM,0.007836342079478762
blaCMY-4,0.004578919292262621
ompK35_E42RfsTer47,0.0
ompK35_L14GfsTer11,0.0
ompK35_E132K,0.0
nfsB_K21SfsTer1,0.0
nfsB_Q35Ter,0.0
ompK35_F300LfsTer25,0.0
aac(3)-II,0.0
mgrB_Q30Ter,0.0
nfsB_D198Y,0.0
msr(E),0.0
mrx(A),0.0
mph(E),0.0
mgrB_W6Ter,0.0
ompK36_G108LfsTer9,0.0
mgrB_N42IfsTer30,0.0
mgrB_N25KfsTer9,0.0
mgrB_L4Ter,0.0
gyrA_S83T,0.0
gyrA_D87A,0.0
fosA7,0.0
fosA5,0.0
fosA10,0.0
fosA,0.0
ompK36_D135DGD,0.0
oqxB20,0.0
ompK36_W125Ter,0.0
ramR_M133CfsTer5,0.0
qnrB19,0.0
qnrB4,0.0
qnrS1,0.0
qnrVC1,0.0
ramR_A19V,0.0
ramR_F48SfsTer22,0.0
ramR_N99PfsTer82,0.0
qnrA6,0.0
ramR_R80EfsTer98,0.0
ramR_T50IfsTer23,0.0
ramR_V97NfsTer2,0.0
rmtF1,0.0
smr,0.0
sul3,0.0
qnrB,0.0
qacL,0.0
oqxA,0.0
oqxB5,0.0
oqxA10,0.0
oqxA11,0.0
oqxA3,0.0
ere(B),0.0
oqxB25,0.0
oqxB32,0.0
oqxB9,0.0
qacF,0.0
oqxR_D95E,0.0
oqxR_V113I,0.0
oqxR_V137RfsTer15,0.0
pmrB_T140P,0.0
pmrB_T157P,0.0
qacE,0.0
estX-3,0.0
dfrA15,0.0
ere(A),0.0
arr,0.0
arr-3,0.0
arr-4,0.0
blaCMY-16,0.0
blaCMY-2,0.0
blaCTX-M,0.0
blaDHA-1,0.0
blaKPC-2,0.0
blaKPC-4,0.0
blaLAP-2,0.0
blaLEN-16,0.0
blaNDM-1,0.0
blaOKP-B-23,0.0
blaOKP-B-79,0.0
blaOXA,0.0
blaOXA-1,0.0
arr-2,0.0
armA,0.0
blaOXA-1451,0.0
aph(4)-Ia,0.0
aac(3)-IVa,0.0
aac(3)-Ib,0.0
aac(3)-VIa,0.0
aac(6')-Ib',0.0
aac(6')-Ib4,0.0
aac(6')-Il,0.0
aadA16,0.0
aadA2,0.0
aadA5,0.0
acrR_V165I,0.0
acrR_Y114F,0.0
ampC-Kaer,0.0
ampC_Kaer-1,0.0
ant(2'')-Ia,0.0
aph(3')-VI,0.0
blaOXA-10,0.0
blaOXA-2,0.0
dfrA8,0.0
catA2,0.0
catB3,0.0
cirA_Q562Ter,0.0
cirA_W615Ter,0.0
cmlA1,0.0
cmlA5,0.0
dfrA1,0.0
dfrA12,0.0
aac(3)-IId,0.0
dfrA17,0.0
dfrA21,0.0
dfrA27,0.0
dfrA30,0.0
dfrA5,0.0
dfrA50,0.0
dfrA7,0.0
catB,0.0
ble,0.0
blaOXA-232,0.0
blaVIM-4,0.0
blaSCO-1,0.0
blaSHV,0.0
blaSHV-11,0.0
blaSHV-119,0.0
blaSHV-12,0.0
blaSHV-205,0.0
blaSHV-27,0.0
blaSHV-31,0.0
blaSHV-33,0.0
blaSHV-36,0.0
blaSHV-42,0.0
blaSHV-63,0.0
blaSHV-71,0.0
blaTEM-206,0.0
blaVIM-1,0.0
tet(M),0.0
